CASEID,CONSENT,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8a,Q8b,Q8c,Q9,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q10h,Q10i,Q10j,Q10k,Q10l,Q10m,Q10n,Q10o,Q10p,Q10q,Q10r,Q11a,Q11b,Q11c,Q11c_1,Q11c_2,Q11c_3,Q11c_4,Q11c_5,Q11c_6,Q11c_7,Q11c_8,Q11c_9,Q11c_10,Q11c_11,Q11c_12,Q11c_13,Q11c_14,Q11c_15,Q11c_16,Q11c_17,Q11c_18,Q12a,Q12b,Q12c,Q12d,Q12e,Q12f,Q12g,Q13a,Q13b,Q13c,Q13d,Q13e,Q13f,Q13g,Q13h,Q13i,Q14,Q15,Q16,Q16x,Q17,Q18,Q19,Q20a,Q20b,Q21,Q23,Q24,Q25,Q32a,Q32b,Q33,Q34,Q35,Q36,Q40,Q41,Q42,Q42x,Q43,AGE,Gender,Q16a,Q16b,Q16c,Q16c_1,Q16c_2,Q16c_3,Q16c_4,Q16c_5,Q16c_6,Q16d1,Q16d2,Q16d3,party,CNTY,FIPS,HOME,PERMAV,CD,SD,AD,F13,F14,F15,F16,F17,F18,F19,F20,EndDate,Durationinseconds,Finished,RecordedDate,lang,WEIGHT,ETHNICITY,LIKELY_2020_PRIMARY,LIKELY_2020_GENERAL
  11,1,2,4,3,4,2,2,1, ,1, , ,3,1,3,3,3,3,1,3,3,3,1,3,1,3,3,3,3,3,19,  ,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,2,2,4,1,1,1,1,1,1,1,1,1,1,4,2,2,2,3,1,2, ,1,2,1,1,1, ,5,5,"1                                                                                                                                                                                                                                             ",3,1, ,2,2,5,22,2,6,2,"      1",1,0,0,0,0,0,1,1,2,"        Democrat",30, 59," "," ",45,37,74,"N","N","N","N","N","P","P","P","04-JUN-2019 11:21:02",   660,1,"04-JUN-2019 11:21:02",1, 0.24477,1,1,1
  12,1,2,4,3,4,2,2,1, , ,1, ,3,1,3,2,3,1,1,3,1,1,1,3,2,3,3,3,3,2, 7, 9,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3,3,1,2,2,1,1,2,1,1,1,2,1,1,1,4,3,1,1,2,1,2, ,1,1,1,2,3,2,4,5,"2                                                                                                                                                                                                                                             ",2,1, ,2,1,1,18,2,3,1,"       ", , , , , , ,3,2,3,"Decline to State",30, 59," ","Y",48,37,74,"N","N","N","N","N","N","N","N","04-JUN-2019 11:21:06",   615,1,"04-JUN-2019 11:21:07",1, 1.45947,2,2,2
  13,1,2,4,3,5,2,2,1, ,1, , ,3,1,1,1,2,3,1,3,3,3,1,3,1,3,3,3,3,3, 7, 2,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,2,2,1,1,1,1,1,1,1,1,1,1,4,2,1,2,2,1,3,1,1,1,1,2,1, ,5,5,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,3,22,2,7,1,"       ", , , , , , ,3,1,3,"        Democrat",30, 59,"H"," ",39,32,65,"N","N","N","P","P","N","N","P","04-JUN-2019 11:21:19",   596,1,"04-JUN-2019 11:21:20",1, 0.11104,2,1,1
  14,1,2,4,5,5,2,2,1, ,1, , ,1,1,1,1,1,3,1,3,3,1,1,3,1,3,3,3,3,3, 7, 2,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1, ,1,1,1,3,1, ,5,5,"16                                                                                                                                                                                                                                            ",1,1, ,2,2,4,20,2,7,2,"      2",0,1,0,0,0,0,1,1,1,"        Democrat",19, 37,"H","Y",37,30,54,"N","N","N","N","N","N","N","A","04-JUN-2019 11:21:23",   433,1,"04-JUN-2019 11:21:25",1, 0.18509,3,1,1
  15,1,1,3,4,3,2,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,2,1,1,1,4,1,2,2,1,3,2, ,2,5,"1 month                                                                                                                                                                                                                                       ",1,1, ,1,2,2,19,2,3,1,"       ", , , , , , ,1,4,4,"Decline to State",19, 37," ","Y",27,22,49,"N","N","N","N","N","N","N","N","04-JUN-2019 11:21:45",   939,1,"04-JUN-2019 11:21:46",1, 2.47612,2,2,2
  16,1,1,3,4,3,2,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,2,1,1,1,4,1,2,2,1,3,2, ,2,5,"1 month                                                                                                                                                                                                                                       ",1,1, ,1,2,2,19,2,3,1,"       ", , , , , , ,1,4,4,"Decline to State",19, 37," ","Y",27,22,49,"N","P","N","N","P","N","N","A","04-JUN-2019 11:21:45",   939,1,"04-JUN-2019 11:21:46",1, 0.63213,2,2,1
  17,1,2,3,2,3,3,1,2, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,3,2,2,2,3,2,3,1,1,3,2,2,3,1,3,5,"1                                                                                                                                                                                                                                             ",1,1, ,2,2,3,21,2,6,1,"       ", , , , , , ,4,3,2,"Decline to State",37, 73," ","Y",52,39,78,"N","N","N","N","N","N","N","A","04-JUN-2019 11:21:48",   325,1,"04-JUN-2019 11:21:49",1, 0.17087,2,2,1
  18,1,1,4,4,4,2,1,4, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3, ,2,3,2,2, ,1,2,1,1,1, ,3,1,"2                                                                                                                                                                                                                                             ",2,1, ,2,2,4,26,2,8,2,"      3",0,0,1,0,0,0,2,3,2,"Decline to State",37, 73," ","Y",52,39,77,"N","N","N","N","N","N","N","N","04-JUN-2019 11:22:36",   379,1,"04-JUN-2019 11:22:37",1, 1.26971,4,2,2
  19,1,2,4,4,4,2,1,3, ,3, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,1,2,3,2,2, ,1,2,2,2,1, ,5,5,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,3,28,2,7,2,"      3",0,0,1,0,0,0,2,3,3,"        Democrat",19, 37," ","Y",37,30,54,"N","P","N","N","A","A","N","A","04-JUN-2019 11:23:27",   535,1,"04-JUN-2019 11:23:28",1, 0.39317,4,2,2
  20,1,2,4,5,5,2,2,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,1,2,2,3,2,2,1,1,1,3,2,4,2,"1.5                                                                                                                                                                                                                                           ",1,1, ,2,2,2,23,2,3,2,"      4",0,0,0,1,0,0,1,3,3,"Decline to State",34, 67," ","Y", 7, 4, 8,"N","N","N","N","N","A","N","A","04-JUN-2019 11:23:28",   550,1,"04-JUN-2019 11:23:29",1, 0.77401,4,2,1
  21,1,2,4,4,5,2,2,1, ,1, , ,3,1,3,1,3,3,1,3,3,3,1,3,2,3,3,3,3,3,19,  ,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,4,1,2,2,2,2,1,1,2,1,1,3,1,1,4,2,2,1,1,1,2, ,1,2,2,2,1, ,5,5,"7                                                                                                                                                                                                                                             ",1,1, ,1,2,6,19,2,5,1,"       ", , , , , , ,3,2,2,"        Democrat",33, 65," ","Y",42,28,67,"N","N","N","N","N","N","A","A","04-JUN-2019 11:24:34",   650,1,"04-JUN-2019 11:24:34",1, 0.50412,2,1,1
  22,1,2,4,5,5,2,1,4, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, , ,1,1,2,1,3,1,1,1,1,1,3,2,4,5,"1                                                                                                                                                                                                                                             ",1,1, ,2,2,1,18,2,3,2,"      3",0,0,1,0,0,0,1,1,1,"Decline to State",42, 83," "," ",24,19,37,"N","N","N","N","N","N","N","N","04-JUN-2019 11:25:14",   437,1,"04-JUN-2019 11:25:14",1, 1.85546,4,2,2
  23,1,2,4,4,5,1,2,1, ,1, , ,1,1,3,1,2,3,2,3,3,1,1,3,2,3,3,3,3,3, 2, 1,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,3,2,2,2,3,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,3,1,1,1,1,2,1, ,5,5,"2                                                                                                                                                                                                                                             ",2,1, ,2,2,3,28,2,7,2,"      1",1,0,0,0,0,0,4,4,4,"        Democrat",30, 59," ","Y",48,37,74,"N","A","N","A","A","N","P","A","04-JUN-2019 11:25:22",   672,1,"04-JUN-2019 11:25:22",1, 0.29537,1,1,1
  24,1,1,3,4,4,2,2,4, ,4, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,1,1,2,1,2, ,1,2,1,2,1, ,5,2,"18                                                                                                                                                                                                                                            ",4,2, ,2,2,6,38,2,3,2,"      3",0,0,1,0,0,0,2,1,2,"        Democrat",33, 65,"H","Y",42,31,60,"N","N","N","N","N","N","N","N","04-JUN-2019 11:25:35",   301,1,"04-JUN-2019 11:25:35",1, 7.63664,4,2,2
  25,1,2,3,3,3,3,1,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,2,4,2,1, ,1,2,2,1,3,2,2,5,"25                                                                                                                                                                                                                                            ",2,1, ,1,2,1,25,2,7,2,"      1",1,0,0,0,0,0,2,4,4,"Decline to State",30, 59,"H"," ",48,34,72,"N","N","N","N","N","N","N","N","04-JUN-2019 11:25:48",   594,1,"04-JUN-2019 11:25:48",1, 0.93393,1,2,2
  26,1,2,4,3,3,2,1,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,2,2,3,2,3,1,1,4,1,1,1, ,3,5,"0                                                                                                                                                                                                                                             ",1,1, ,2,2,1,19,2,5,1,"       ", , , , , , ,1,1,2,"Decline to State",19, 37," "," ",25,21,38,"N","N","N","N","N","N","N","N","04-JUN-2019 11:25:55",   960,1,"04-JUN-2019 11:25:55",1, 0.89507,2,2,2
  27,1,2,3,3,4,2,1,1, , ,1, ,3,2,1,1,3,3,1,3,3,1,1,3,1,3,3,3,3,3,10,13,",2,                                            ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,2,1,3,2,3,2,2,2,2,1,1,1,1,4,2,1,2,3,2,2, ,1,2,2,1,4,2,3,1,"1                                                                                                                                                                                                                                             ",4,1, ,2,2,6,28,2,8,2,"      1",1,0,0,0,0,0,1,2,2,"Decline to State",37, 73," ","Y",52,39,78,"N","N","N","N","N","N","N","P","04-JUN-2019 11:26:45",   740,1,"04-JUN-2019 11:26:46",1, 0.30248,1,1,1
  28,1,2,4,4,4,2,1,1, ,1, , ,3,1,1,1,3,3,1,3,3,3,1,3,1,3,3,3,3,3,19,  ,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,2,2,2,2,2,3,1,1,1,3,1,2,1,4,2,3,1,2,1,2, ,1,3,2,2,1, ,3,5,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,3,24,2,7,2,"      1",1,0,0,0,0,0,2,3,3,"        Democrat",37, 73," "," ",52,39,78,"N","N","N","N","N","N","N","P","04-JUN-2019 11:27:31",   589,1,"04-JUN-2019 11:27:32",1, 0.09066,1,1,1
  29,1,2,4,4,4,3,2,1, ,1, , ,3,1,1,3,3,3,1,3,3,3,3,3,1,3,3,3,3,3, 3, 7,",2,                                            ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,2,2,2,2,2,2,2,1,2,1,1,1,4,3,2,2,1,1,4,1,1,2,1,2,1, ,5,5,"2                                                                                                                                                                                                                                             ",2,1, ,2,2,5,19,2,3,1,"       ", , , , , , ,2,2,2,"        Democrat",42, 83," "," ",24,19,37,"N","N","N","N","N","N","N","P","04-JUN-2019 11:28:44",   664,1,"04-JUN-2019 11:28:45",1, 0.48961,2,1,1
  30,1,2,4,3,4,2,1,1, ,1, , ,3,1,3,3,1,3,1,3,3,1,1,3,1,3,3,3,3,3,10, 5,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,2,1,2,1,2,1,2,2,1,2,1,1,4,3,2,1,1,1,1, ,1,4,2,1,1, ,5,5,"1                                                                                                                                                                                                                                             ",3,1, ,2,2,2,24,2,7,2,"      1",1,0,0,0,0,0,1,2,2,"        Democrat",19, 37,"H"," ",33,27,45,"N","N","N","N","N","A","P","N","04-JUN-2019 11:29:14",  1416,1,"04-JUN-2019 11:29:15",1, 0.31008,1,1,1
  31,1,2,4,5,5,1,2,3, ,3, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,2,1,1,1,1,2, ,1,3,1,2,1, ,5,2,"3                                                                                                                                                                                                                                             ",2,2, ,2,2,6,25,2,7,2,"      3",0,0,1,0,0,0,2,2,2,"        Democrat",38, 75," "," ",12,11,17,"N","N","N","N","N","N","P","P","04-JUN-2019 11:29:21",   309,1,"04-JUN-2019 11:29:21",1, 0.40249,4,2,1
  32,1,2,4,4,3,3,2,1, , , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,1,1,2,1,1,3,1,1,2,1,3,3,3,3,5,"12                                                                                                                                                                                                                                            ",3,1, ,2,2,3,21,2,3,2,"      3",0,0,1,0,0,0,1,1,1,"           Other",37, 73,"H","Y",53,40,71,"N","N","N","N","N","N","N","N","04-JUN-2019 11:29:34",   714,1,"04-JUN-2019 11:29:35",1, 2.89019,4,2,2
  33,1,2,2,2,3,4,1,1, , ,3, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2,1,3,2,4,2,4,2,1,4,2,2,3,3,3,5,"5                                                                                                                                                                                                                                             ",1,1, ,2,2,1,22,2,5,1,"       ", , , , , , ,1,2,2,"Decline to State",19, 37," ","Y",35,20,52,"N","N","N","N","A","A","N","A","04-JUN-2019 11:29:46",   874,1,"04-JUN-2019 11:29:46",1, 0.22850,2,2,1
  34,1,2,4,5,5,3,2,1, ,1, , ,1,1,1,1,1,1,1,3,3,1,1,3,2,3,1,3,3,3, 2,11,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,1,3,3,2,2,1,1,1,1,1,2,1,1,4,2,2,1,1,1,3,1,1,3,1,2,1, ,5,2,"1                                                                                                                                                                                                                                             ",3,1, ,2,2,5,26,2,7,2,"      1",1,0,0,0,0,0,2,4,3,"        Democrat",19, 37," "," ",37,26,54,"P","A","N","N","P","P","P","P","04-JUN-2019 11:29:55",   929,1,"04-JUN-2019 11:29:56",1, 0.34914,1,1,1
  35,1,2,4,5,5,2,2,1, ,2, , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,2,3,1,3,1,1,2,1,1,1, ,5,2,"3 months                                                                                                                                                                                                                                      ",2,1, ,2,2,2,20,2,3,1,"       ", , , , , , ,3,3,3,"        Democrat",37, 73,"H","Y",50,38,75,"N","N","N","N","N","N","A","A","04-JUN-2019 11:29:56",   638,1,"04-JUN-2019 11:29:57",1, 0.55246,2,2,1
  36,1,1,1,1,1,3,1,1,2, , , , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,2,3,2,2, ,2,4,2,3,4,1,2,1,"3                                                                                                                                                                                                                                             ",1,1, ,1,1,4,29,2,7,2,"      6",0,0,0,0,0,1, , , ,"      Republican",19, 37," "," ",33,26,66,"N","N","N","P","P","P","P","P","04-JUN-2019 11:30:04",   477,1,"04-JUN-2019 11:30:04",1, 0.29887,5,2,1
  37,1,2,4,5,5,2,1,1, ,1, , ,3,1,1,1,3,3,1,3,3,1,1,3,3,3,3,3,3,3, 7, 2,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,2,2,2,2,1,1,1,2,1,1,1,1,4,2,1,1,1,1,2, ,1,4,1,2,1, ,4,5,"7                                                                                                                                                                                                                                             ",2,2, ,1,1,4,28,2,8,2,"      3",0,0,1,0,0,0,1,1,1,"        Democrat",48, 95,"H"," ", 5, 3,14,"N","N","N","N","N","N","N","A","04-JUN-2019 11:30:04",   499,1,"04-JUN-2019 11:30:06",1, 0.40249,4,1,1
  38,1,2,4,5,5,2,2,1, ,1, , ,3,1,2,3,2,2,2,3,2,3,1,3,1,3,3,3,2,3, 2,13,",9,                                            ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3,4,3,2,2,3,1,2,1,1,2,2,2,2,1,1,4,2,1,1,2,1,3,1,1,1,1,4,1, ,4,5,"1                                                                                                                                                                                                                                             ",2,1, ,2,2,3,29,2,7,1,"       ", , , , , , ,3,2,2,"        Democrat",19, 37," ","Y",28,24,43,"N","N","N","N","N","N","A","A","04-JUN-2019 11:30:15",  1252,1,"04-JUN-2019 11:30:16",1, 0.38089,2,1,1
  39,1,2,4,4,4,2,2,1, , ,1, , , , , , , , , , , , , , , , , , , ,19,  ,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,2,2,2,1,2,1,1,1,1,1,1,1,1,4,3,1,1,1,1,2, ,1,1,1,2,1, ,5,5,"1                                                                                                                                                                                                                                             ",2,1, ,2,1,5,28,2,7,2,"      1",1,0,0,0,0,0,3,4,4,"Decline to State",43, 85," "," ",17,13,24,"N","N","N","N","N","N","N","P","04-JUN-2019 11:31:14",   416,1,"04-JUN-2019 11:31:14",1, 0.41407,1,1,1
  40,1,2,4,5,5,2,2,1, , ,1, ,1,1,2,2,1,3,2,3,3,1,1,3,2,3,3,3,3,3,11, 1,",                                              ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,2,3,3,2,2,2,1,1,2,1,1,1,1,4,2,3,1,2,1,3,1,1,2,1,3,1, ,4,5,"2                                                                                                                                                                                                                                             ",3,1, ,2,2,4,26,2,7,2,"      1",1,0,0,0,0,0,4,4,4,"Decline to State", 1,  1," "," ",13, 9,18,"N","N","N","N","N","N","P","P","04-JUN-2019 11:31:17",   879,1,"04-JUN-2019 11:31:18",1, 0.41407,1,1,1
  41,1,2,4,5,5,2,2,1, ,1, , ,3,1,2,1,3,3,2,3,3,1,1,3,2,3,3,3,3,3,11, 2,",13,                                           ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,4,3,2,2,2,2,2,2,2,2,1,1,2,1,1,4,3,1,1,2,1,2, ,1,2,1,2,1, ,4,2,"3                                                                                                                                                                                                                                             ",2,1, ,1,2,5,27,2,7,2,"      1",1,0,0,0,0,0,3,3,3,"        Democrat",43, 85," ","Y",18,15,28,"N","N","N","N","P","P","P","A","04-JUN-2019 11:31:59",   596,1,"04-JUN-2019 11:31:59",1, 0.35741,1,1,1
  42,1,2,4,4,4,2,2,1, , ,2, , , , , , , , , , , , , , , , , , , ,  ,  ,"                                               ", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,4,3,1,1,2,1,4,1,2,2,1,1,3,2,3,5,"2                                                                                                                                                                                                                                             ",1,1, ,1,2,5,18,2,5,2,"    1,3",1,0,1,0,0,0,2,2,2,"Decline to State",36, 71," "," ",27,25,41,"N","N","N","N","N","N","N","P","04-JUN-2019 11:31:59",  1074,1,"04-JUN-2019 11:31:59",1, 0.36078,4,2,1
